degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
History B.A. with History 7-12 Certification,SPED,2301,Introduction to Special Populations,College of Education Core Requirements,18
Healthcare Services B.A.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Healthcare Services B.A.S.,COMM,1315,Public Speaking,University Core Requirements,42
Healthcare Services B.A.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Healthcare Services B.A.S.,HADM,3311,Foundations of Healthcare Administration Leadership,Major Requirements,27
Healthcare Services B.A.S.,HADM,3322,Financial Dimensions of Healthcare Administration I,Major Requirements,27
Healthcare Services B.A.S.,HADM,3333,Healthcare Economics,Major Requirements,27
Information Technology B.A.S.,ITEC,3312,Scripting II,Major Requirements,45
Information Technology B.A.S.,ITEC,3335,Database Development,Major Requirements,45
Information Technology B.A.S.,ITEC,3351,Web Fundamentals,Major Requirements,45
Information Technology B.A.S.,ITEC,3365,Network Fundamentals,Major Requirements,45
Information Technology B.A.S.,ITEC,3381,Forensics Fundamentals,Major Requirements,45
Information Technology B.A.S.,ITEC,4313,Emerging Information Technology,Major Requirements,45
Information Technology B.S.,ITEC,3351,Web Fundamentals,Major Requirements,45
Information Technology B.S.,ITEC,3365,Network Fundamentals,Major Requirements,45
Information Technology B.S.,ITEC,3381,Forensics Fundamentals,Major Requirements,45
Information Technology B.S.,ITEC,3388,Cyber Security I,Major Requirements,45
Information Technology B.S.,ITEC,4313,Emerging Information Technology,Major Requirements,45
Information Technology B.S.,ITEC,4342,Information Technology Project Management,Major Requirements,45
History B.A. with Social Studies 7-12 Certification,WRIT,3304,Writing for Education,College of Human Sciences and Humanities Core Requirements,6
History B.A. with Social Studies 7-12 Certification,WRIT,3307,Advanced Writing,College of Human Sciences and Humanities Core Requirements,6
History B.A. with Social Studies 7-12 Certification,EDUC,4310,Theories of Educational Psychology,College of Education Core Requirements,18
History B.A. with Social Studies 7-12 Certification,INST,3313,Survey of Instructional Technologies,College of Education Core Requirements,18
History B.A. with Social Studies 7-12 Certification,SILC,4315,Theories of American Pluralism,College of Education Core Requirements,18
History B.A. with Social Studies 7-12 Certification,SPED,2301,Introduction to Special Populations,College of Education Core Requirements,18
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,LLLS,4351,Reading in Content Subjects,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,MATH,1350,Mathematics for Teachers I,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,MATH,1351,Mathematics for Teachers II,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,MATH,3304,Algebra Through Technology,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,SILC,4302,Introduction to the Study of Languages,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,SILC,4310,Foundations of Bilingual and ESL Education,Major Requirements,
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,GEOG,1303,World Regional Geography,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Interdisciplinary Studies B.A.S. with a major in Early Childhood Education - Educator of Young Children,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,TCED,1301,Exploring Teaching as a Profession,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,LLLS,4311,Survey of Reading,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,LLLS,4345,Survey of Children's Literature,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,LLLS,4346,Teaching Language Arts in the 4-8 Classroom,Major Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 Certification,MATH,1350,Mathematics for Teachers I,Major Requirements,
Pre-Engineering,CHEM,1111,Laboratory for General Chemistry I,Specialization in Mechanical Engineering Requirements,
Pre-Engineering,MATH,2413,Calculus I,Specialization in Mechanical Engineering Requirements,
Pre-Engineering,PSYC,1100,Learning Frameworks,Specialization in Mechanical Engineering Requirements,
Pre-Engineering,WRIT,1302,Composition II,Specialization in Mechanical Engineering Requirements,
Sociology B.S.,SOCI,4317,Race and the Law,Major Requirements,54
Sociology B.S.,SOCI,4328,Social Conflict and Mediation,Major Requirements,54
Sociology B.S.,SOCI,4332,Sociology of Law,Major Requirements,54
Sociology B.S.,SOCI,4335,Social Change and Social Movements,Major Requirements,54
Computer Engineering B.S.,MATH,2315,Calculus III,Major Requirements,80
Computer Engineering B.S.,MATH,2318,Linear Algebra,Major Requirements,80
Computer Engineering B.S.,MATH,2320,Differential Equations,Major Requirements,80
Computer Engineering B.S.,MATH,2305,Discrete Mathematics,Major Requirements,80
Computer Engineering B.S.,STAT,3334,Probability and Statistics for Scientists and Engineers,Major Requirements,80
Computer Science B.S.,MATH,2320,Differential Equations,Major Requirements,67
Computer Science B.S.,STAT,3334,Probability and Statistics for Scientists and Engineers,Major Requirements,67
Computer Science B.S.,CSCI,1470,Computer Science I,Major Requirements,67
Computer Science B.S.,CSCI,1471,Computer Science II,Major Requirements,67
Computer Science B.S.,CSCI,2315,Data Structures,Major Requirements,67
Humanities B.A.,HUMN,3375,Ideas in Transition,Major Requirements,66
Humanities B.A.,HUMN,4375,Senior Seminar,Major Requirements,66
Humanities B.A.,HUMN,3375,Ideas in Transition,Major Requirements,66
Humanities B.A.,PHIL,3321,Logic,Major Requirements,66
History B.A.,ANTH,4333,Peoples of Mexico and Central America,Major Requirements,42
History B.A.,ANTH,4334,Native Americans,Major Requirements,42
History B.A.,ANTH,4352,World Prehistory and Archaeology,Major Requirements,42
History B.A.,HIST,2321,World Civilization I,Major Requirements,42
History B.A.,HIST,2322,World Civilization II,Major Requirements,42
Chemistry BA with Physical Science 7-12 Certification,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,CHEM,1311,General Chemistry I,University Core Requirements,42
Chemistry BA with Physical Science 7-12 Certification,CHEM,1312,General Chemistry II,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,ENSC,1302,Environmental Science II,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,GEOL,1303,Physical Geology,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,GEOL,1304,Historical Geology,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,PHYS,1301,College Physics I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,PHYS,1302,College Physics II,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,PHYS,2325,University Physics I,University Core Requirements,42
Biological Science B.S. Degree: Specialization Areas,PHYS,2326,University Physics II,University Core Requirements,42
Communication B.A.,POLS,2306,Texas Government,University Core Requirements,42
Communication B.A.,ANTH,2346,General Anthropology,University Core Requirements,42
Communication B.A.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Communication B.A.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Chemistry B.A.,ARTS,1304,World Art Survey II,University Core Requirements,42
Chemistry B.A.,ARTS,2379,Arts and the Child,University Core Requirements,42
Chemistry B.A.,HIST,1301,United States History I,University Core Requirements,42
Chemistry B.A.,HIST,1302,United States History II,University Core Requirements,42
Chemistry B.A.,POLS,2305,Federal Government,University Core Requirements,42
Chemistry B.A.,POLS,2306,Texas Government,University Core Requirements,42
Chemistry B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Chemistry B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Chemistry B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Chemistry B.S.,HIST,1301,United States History I,University Core Requirements,42
Chemistry B.S.,HIST,1302,United States History II,University Core Requirements,42
Biological Science B.A.,WRIT,1302,Composition II,University Core Requirements,42
Biological Science B.A.,MATH,1314,College Algebra,University Core Requirements,42
Biological Science B.A.,CHEM,1311,General Chemistry I,University Core Requirements,42
Biological Science B.A.,CHEM,1312,General Chemistry II,University Core Requirements,42
Biological Science B.A.,HUMN,1301,Humanities,University Core Requirements,42
Biological Science B.A.,LITR,2341,Literature and Experience,University Core Requirements,42
Biological Science B.A.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Biological Science B.S.,WRIT,1302,Composition II,University Core Requirements,42
Biological Science B.S.,MATH,2413,Calculus I,University Core Requirements,42
Biological Science B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Biological Science B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Biological Science B.S.,HUMN,1301,Humanities,University Core Requirements,42
Biological Science B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Biological Science B.S. - M.S. Clinical Laboratory Sciences,BIOL,4345,Human Physiology,Specialization Requirements,
Biological Sciences B.A. with Life Sciences 7-12 Certification,POLS,2306,Texas Government,University Core Requirements,42
Biological Sciences B.A. with Life Sciences 7-12 Certification,ANTH,2346,General Anthropology,University Core Requirements,42
